,Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packaging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Food_Group
0,Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4,5.008797654,9.095,216.5592006,303.75,1.162162162,2.156069364,2.415,10063.4,7412.9170955,Plant
1,Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,5.008797654,9.095,216.5592006,303.75,1.162162162,2.156069364,2.415,10063.4,7412.9170955,Plant
2,Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,5.008797654,9.095,216.5592006,303.75,1.162162162,2.156069364,2.415,10063.4,7412.9170955,Plant
3,Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,4.281357225,11.23,183.9115517,482.4,0.945482272,2.897445673,7.6,18786.2,7162.104461,Plant
4,Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,9.51437873,35.07,609.9837222,2248.4,1.207270754,0.759631036,2.8,49576.3,13449.89148,Plant
5,Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.754098361,3.48,80.73770492,59.1,0.628415301,1.202185792,0.88,2754.2,3762.568306,Plant
6,Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.708418891,0.69,216.5592006,0.0,1.35523614,1.858316222,1.81,0.0,7412.9170955,Plant
7,Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,4.820512821,16.92,176.6666667,620.1,0.911680912,0.581196581,2.04,16438.6,4683.361823,Plant
8,Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,1.541310541,5.41,62.02279202,217.7,0.515669516,0.521367521,1.83,9493.3,2704.643875,Plant
9,Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,5.008797654,17.08,216.5592006,435.7,0.524926686,4.565982405,15.57,22477.4,7412.9170955,Plant
10,Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.8,2.173410405,7.52,216.5592006,396.6,0.283236994,2.156069364,7.46,27948.2,7412.9170955,Plant
11,Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.2,3.113821138,19.15,672.1626016,4133.8,0.069918699,2.107317073,12.96,229889.8,37380.45528,Plant
12,Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,2.437931034,14.14,319.362069,1852.3,0.556896552,1.570689655,9.11,61797.9,10654.81034,Plant
13,Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,5.008797654,1.06,216.5592006,27.8,1.162162162,2.156069364,0.66,955.6,7412.9170955,Plant
14,Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,3.0,5.008797654,9.095,216.5592006,303.75,1.162162162,2.156069364,2.415,10063.4,7412.9170955,Plant
15,Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,6.0,5.008797654,11.69,216.5592006,414.6,1.162162162,2.156069364,10.52,14888.2,7412.9170955,Plant
16,Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,7.6,1.207013575,10.67,0.7239819,6.4,0.828054299,0.273755656,2.42,36.2,4.095022624,Plant
17,Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.5,5.730769231,50.66,114.0158371,1007.9,0.407239819,1.997737557,17.66,36369.4,4114.18552,Plant
18,Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.7,2.17081448,19.19,26.88914027,237.7,0.426470588,1.202488688,10.63,10593.7,1198.382353,Plant
19,Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.0,4.214932127,37.26,242.2850679,2141.8,0.613122172,2.976244344,26.31,177480.2,20076.9457,Plant
20,Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.4,39.52631579,7.51,1946.315789,369.8,11.0,4.210526316,0.8,5335.7,28082.63158,Plant
21,Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,8.756756757,3.24,38.64864865,14.3,1.351351351,1.054054054,0.39,932.0,2518.918919,Plant
22,Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.351351351,1.61,76.75675676,28.4,1.162162162,0.891891892,0.33,929.2,2511.351351,Plant
23,Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4,29.47058824,5.01,702.3529412,119.4,3.0,3.235294118,0.55,8455.1,49735.88235,Plant
24,Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,5.008797654,2.27,216.5592006,102.5,1.162162162,2.156069364,0.38,4911.4,7412.9170955,Plant
25,Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,7.0,2.24,258.4375,82.7,1.21875,2.6875,0.86,4662.7,14570.9375,Plant
26,Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.8,5.483333333,3.29,190.8333333,114.5,1.433333333,3.216666667,1.93,661.9,1103.166667,Plant
27,Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.020833333,1.45,375.2083333,180.1,0.895833333,1.3125,0.63,12948.6,26976.25,Plant
28,Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.1,10.73684211,6.12,736.1403509,419.6,2.684210526,4.228070175,2.41,21162.1,37126.49123,Plant
29,Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.4,5.008797654,4.57,216.5592006,78.9,1.162162162,2.156069364,1.78,1149.3,7412.9170955,Plant
30,Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,5.008797654,2.43,216.5592006,153.5,1.162162162,2.156069364,0.89,9533.1,7412.9170955,Plant
31,Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,16.5,197.3571429,110.52,46.25,25.9,50.94642857,38.60714286,21.62,337.0,601.7857143,Plant
32,Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,18.7,16.84332689,87.08,104.5647969,540.6,9.023210832,13.3384913,68.96,2879.2,556.9052224,Plant
33,Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,110.4065934,301.41,531.5750916,1451.2,36.43956044,119.4908425,326.21,34732.5,12722.52747,Animal
34,Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,133.8058608,365.29,994.2490842,2714.3,12.1978022,15.83882784,43.24,119805.2,43884.68864,Animal
35,Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,568.7066246,1802.8,12.52996845,116.659306,369.81,141925.0,44771.29338,Animal
36,Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,751.3807531,1795.8,5.150627615,7.263598326,17.36,66867.4,27977.99163,Animal
37,Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,26.32432432,48.7,356.7567568,660.0,5.335135135,6.605405405,12.22,14177.9,7663.72973,Animal
38,Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,17.75,10.65,1047.0,628.2,5.25,14.91666667,8.95,19786.3,32977.16667,Animal
39,Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,25.41860465,98.37,1448.372093,5605.2,6.170542636,22.68475452,87.79,180850.6,46731.42119,Animal
40,Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,4.5,15.11111111,21.76,401.1805556,577.7,3.243055556,4.354166667,6.27,17982.7,12487.98611,Animal
41,Fish (farmed),0.5,0.8,3.6,0.0,0.1,0.1,0.0,5.1,131.3519553,235.12,2062.178771,3691.3,7.61452514,4.698324022,8.41,41572.2,23224.69274,Animal
42,Shrimps (farmed),0.2,2.5,8.4,0.0,0.2,0.3,0.2,11.8,5.008797654,9.095,216.5592006,303.75,1.162162162,2.156069364,2.415,10063.4,7412.9170955,Plant
